address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
168 20th St APT 1A,Brooklyn,NY,11232,2290/000000,600.0,1.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/168-20th-St-APT-1A-Brooklyn-NY-11232/2099870600_zpid/
NA,NA,NA,NA,0199522950,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,2205032250,NA,NA,NA,NA,For Rent,NA
212 20th St # 2,Brooklyn,NY,11232,2000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/212-20th-St-2-Brooklyn-NY-11232/2111493966_zpid/
621 40th St # D6,Brooklyn,NY,11232,1800/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/621-40th-St-D6-Brooklyn-NY-11232/2091681677_zpid/
906 4th Ave # 3FLR,Brooklyn,NY,11232,2800/000000,1000.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/906-4th-Ave-3FLR-Brooklyn-NY-11232/2104631002_zpid/
206 21st St APT 3A,Brooklyn,NY,11232,2400/000000,700.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/206-21st-St-APT-3A-Brooklyn-NY-11232/64879798_zpid/
133 23rd St APT 3E,Brooklyn,NY,11232,2640/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/133-23rd-St-APT-3E-Brooklyn-NY-11232/2091720810_zpid/
569 39th St # 3,Brooklyn,NY,11232,2100/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/569-39th-St-3-Brooklyn-NY-11232/2091721281_zpid/
NA,NA,NA,NA,123992395034750,NA,NA,NA,NA,For Rent,NA
204 21st St APT 3A,Brooklyn,NY,11232,2450/000000,655.0,2.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/204-21st-St-APT-3A-Brooklyn-NY-11232/64767962_zpid/
219 27th St APT 3,Brooklyn,NY,11232,2400/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/219-27th-St-APT-3-Brooklyn-NY-11232/2100841321_zpid/
674 4th Ave # B,Brooklyn,NY,11232,2490/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/674-4th-Ave-B-Brooklyn-NY-11232/2091856798_zpid/
475 41st St APT 11,Brooklyn,NY,11232,2200/000000,700.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/475-41st-St-APT-11-Brooklyn-NY-11232/2127581719_zpid/
732 4th Ave APT 1,Brooklyn,NY,11232,3875/000000,2000.0,3.0,2.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/732-4th-Ave-APT-1-Brooklyn-NY-11232/2104882663_zpid/
732 4th Ave APT 1,Brooklyn,NY,11232,3875/000000,2000.0,3.0,2.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/732-4th-Ave-APT-1-Brooklyn-NY-11232/2104882663_zpid/
898 4th Ave # 2,Brooklyn,NY,11232,3800/000000,1500.0,4.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/898-4th-Ave-2-Brooklyn-NY-11232/2091920532_zpid/
4018 5th Ave APT 15,Brooklyn,NY,11232,2099/000000,700.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/4018-5th-Ave-APT-15-Brooklyn-NY-11232/2091922297_zpid/
174 23rd St # 4,Brooklyn,NY,11232,2100/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/174-23rd-St-4-Brooklyn-NY-11232/2091922692_zpid/
4202 8th Ave # 7FL,Brooklyn,NY,11232,2200/000000,800.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/4202-8th-Ave-7FL-Brooklyn-NY-11232/2091959051_zpid/
601 40th St # GQA2JB59E,Brooklyn,NY,11232,2000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/601-40th-St-GQA2JB59E-Brooklyn-NY-11232/2092397618_zpid/
706 4th Ave # TOP,Brooklyn,NY,11232,2250/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/706-4th-Ave-TOP-Brooklyn-NY-11232/2092105010_zpid/
614 40th St # 54MEF0HQY,Brooklyn,NY,11232,2000/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/614-40th-St-54MEF0HQY-Brooklyn-NY-11232/2092489272_zpid/
184 22nd St # 2,Brooklyn,NY,11232,1799/000000,800.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/184-22nd-St-2-Brooklyn-NY-11232/2118080007_zpid/
141 23rd St # 1,Brooklyn,NY,11232,2200/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/141-23rd-St-1-Brooklyn-NY-11232/2119388112_zpid/
453 43rd St # 2,Brooklyn,NY,11232,2200/000000,950.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/453-43rd-St-2-Brooklyn-NY-11232/2093564948_zpid/
721 4th Ave # B5,Brooklyn,NY,11232,2250/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/721-4th-Ave-B5-Brooklyn-NY-11232/2092750005_zpid/
375 42nd St # 5,Brooklyn,NY,11232,2100/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/375-42nd-St-5-Brooklyn-NY-11232/2092864465_zpid/
2027 Pacific St APT 7C,Brooklyn,NY,11233,1545/000000,720.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2027-Pacific-St-APT-7C-Brooklyn-NY-11233/2102131070_zpid/
410 Decatur St,Brooklyn,NY,11233,2350/000000,1200.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/410-Decatur-St-Brooklyn-NY-11233/30606116_zpid/
NA,NA,NA,NA,1245022475,NA,NA,NA,NA,For Rent,NA
1841 Park Pl # 2FL,Brooklyn,NY,11233,1500/000000,700.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1841-Park-Pl-2FL-Brooklyn-NY-11233/2091342517_zpid/
72 Buffalo Ave # 2,Brooklyn,NY,11233,2499/000000,1100.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/72-Buffalo-Ave-2-Brooklyn-NY-11233/2095921464_zpid/
NA,NA,NA,NA,1290022749,NA,NA,NA,NA,For Rent,NA
442 Decatur St # 13A,Brooklyn,NY,11233,2223/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/442-Decatur-St-13A-Brooklyn-NY-11233/2091348133_zpid/
NA,NA,NA,NA,21999,NA,NA,NA,NA,For Rent,NA
617 Bainbridge St # 3,Brooklyn,NY,11233,2550/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/617-Bainbridge-St-3-Brooklyn-NY-11233/2104189814_zpid/
NA,NA,NA,NA,1240032800,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,42575,NA,NA,NA,NA,For Rent,NA
185 Thomas S Boyland St # 1A,Brooklyn,NY,11233,3595/000000,NA,6.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/185-Thomas-S-Boyland-St-1A-Brooklyn-NY-11233/2091360011_zpid/
1975 Union St APT 2B,Brooklyn,NY,11233,1500/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1975-Union-St-APT-2B-Brooklyn-NY-11233/2091362291_zpid/
NA,NA,NA,NA,120152201032435,NA,NA,NA,NA,For Rent,NA
476 Decatur St # 1,Brooklyn,NY,11233,2800/000000,1500.0,2.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/476-Decatur-St-1-Brooklyn-NY-11233/2091370358_zpid/
2164 Fulton St APT 1B,Brooklyn,NY,11233,2500/000000,1050.0,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2164-Fulton-St-APT-1B-Brooklyn-NY-11233/2092598377_zpid/
NA,NA,NA,NA,21990,NA,NA,NA,NA,For Rent,NA
334 Chauncey St APT 2C,Brooklyn,NY,11233,1950/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/334-Chauncey-St-APT-2C-Brooklyn-NY-11233/2094788178_zpid/
415 Chauncey St APT 1D,Brooklyn,NY,11233,1650/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/415-Chauncey-St-APT-1D-Brooklyn-NY-11233/2091378533_zpid/
Macdonough St,Brooklyn,NY,11233,1595/000000,750.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/Macdonough-St-Brooklyn-NY-11233/2091382378_zpid/
570 Halsey St APT 1,Brooklyn,NY,11233,3300/000000,1200.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/570-Halsey-St-APT-1-Brooklyn-NY-11233/2091382844_zpid/
823 Hancock St APT 1B,Brooklyn,NY,11233,1599/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/823-Hancock-St-APT-1B-Brooklyn-NY-11233/2091387184_zpid/
256 Malcolm X Blvd APT 1R,Brooklyn,NY,11233,2650/000000,1000.0,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/256-Malcolm-X-Blvd-APT-1R-Brooklyn-NY-11233/2091387792_zpid/
167 Decatur St # 1,Brooklyn,NY,11233,2300/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/167-Decatur-St-1-Brooklyn-NY-11233/2097708607_zpid/
1572 Eastern Pkwy # 3,Brooklyn,NY,11233,2200/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1572-Eastern-Pkwy-3-Brooklyn-NY-11233/2095016858_zpid/
458 Halsey St APT 3,Brooklyn,NY,11233,2850/000000,NA,4.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/458-Halsey-St-APT-3-Brooklyn-NY-11233/2097550714_zpid/
1793 Fulton St # 2,Brooklyn,NY,11233,1750/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1793-Fulton-St-2-Brooklyn-NY-11233/2091393348_zpid/
358 Chauncey St # 2,Brooklyn,NY,11233,1800/000000,800.0,3.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/358-Chauncey-St-2-Brooklyn-NY-11233/2091394292_zpid/
NA,NA,NA,NA,32499,NA,NA,NA,NA,For Rent,NA
266 Malcolm X Blvd # L9,Brooklyn,NY,11233,2100/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/266-Malcolm-X-Blvd-L9-Brooklyn-NY-11233/2091394896_zpid/
1864 Prospect Pl # 3,Brooklyn,NY,11233,2650/000000,1200.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1864-Prospect-Pl-3-Brooklyn-NY-11233/2104676678_zpid/
264 Malcolm X Blvd # 3,Brooklyn,NY,11233,2195/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/264-Malcolm-X-Blvd-3-Brooklyn-NY-11233/2091395298_zpid/
NA,NA,NA,NA,11899,NA,NA,NA,NA,For Rent,NA
1395 Herkimer St # 2,Brooklyn,NY,11233,2500/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1395-Herkimer-St-2-Brooklyn-NY-11233/2091396070_zpid/
NA,NA,NA,NA,3260042600,NA,NA,NA,NA,For Rent,NA
891 Herkimer St APT 2F,Brooklyn,NY,11233,1850/000000,600.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/891-Herkimer-St-APT-2F-Brooklyn-NY-11233/2099335134_zpid/
409 Halsey St # 2,Brooklyn,NY,11233,2400/000000,1000.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/409-Halsey-St-2-Brooklyn-NY-11233/2099828439_zpid/
NA,NA,NA,NA,2215032495,NA,NA,NA,NA,For Rent,NA
231 Marion St # 1STFLOOR,Brooklyn,NY,11233,2100/000000,NA,2.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/231-Marion-St-1STFLOOR-Brooklyn-NY-11233/2091396286_zpid/
450 Decatur St # 1FL,Brooklyn,NY,11233,4000/000000,1600.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/450-Decatur-St-1FL-Brooklyn-NY-11233/2091396352_zpid/
680 Hancock St,Brooklyn,NY,11233,2750/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/680-Hancock-St-Brooklyn-NY-11233/89070757_zpid/
NA,NA,NA,NA,0150011994,NA,NA,NA,NA,For Rent,NA
684 Hancock St # 2,Brooklyn,NY,11233,2600/000000,915.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/684-Hancock-St-2-Brooklyn-NY-11233/2109339079_zpid/
1427 Eastern Pkwy # 3,Brooklyn,NY,11233,1800/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1427-Eastern-Pkwy-3-Brooklyn-NY-11233/2091427763_zpid/
1929 Bergen St # 1,Brooklyn,NY,11233,2499/000000,900.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1929-Bergen-St-1-Brooklyn-NY-11233/2091433353_zpid/
120 Bainbridge St # THOUSE,Brooklyn,NY,11233,8745/000000,NA,5.0,5.5,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/120-Bainbridge-St-THOUSE-Brooklyn-NY-11233/2091437126_zpid/
NA,NA,NA,NA,32199,NA,NA,NA,NA,For Rent,NA
Prospect Pl,Brooklyn,NY,11233,1950/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/Prospect-Pl-Brooklyn-NY-11233/2107063566_zpid/
1660 Saint Johns Pl # 2E,Brooklyn,NY,11233,1725/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1660-Saint-Johns-Pl-2E-Brooklyn-NY-11233/2091455712_zpid/
1058 Herkimer St APT 1L,Brooklyn,NY,11233,3645/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1058-Herkimer-St-APT-1L-Brooklyn-NY-11233/2091458904_zpid/
153 Chauncey St APT 4D,Brooklyn,NY,11233,2200/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/153-Chauncey-St-APT-4D-Brooklyn-NY-11233/2102033516_zpid/
66 Somers St # 2A,Brooklyn,NY,11233,2400/000000,658.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/66-Somers-St-2A-Brooklyn-NY-11233/2091460754_zpid/
11 Somers St # 3,Brooklyn,NY,11233,3575/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/11-Somers-St-3-Brooklyn-NY-11233/2100298270_zpid/
2424 Dean St # 2,Brooklyn,NY,11233,2350/000000,2430.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2424-Dean-St-2-Brooklyn-NY-11233/2097587903_zpid/
61 Chauncey St # GARDEN,Brooklyn,NY,11233,2300/000000,900.0,1.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/61-Chauncey-St-GARDEN-Brooklyn-NY-11233/2091463032_zpid/
623 Halsey St APT 5,Brooklyn,NY,11233,2585/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/623-Halsey-St-APT-5-Brooklyn-NY-11233/2091472461_zpid/
224 Bainbridge St # THOUSE,Brooklyn,NY,11233,6560/000000,NA,4.0,4.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/224-Bainbridge-St-THOUSE-Brooklyn-NY-11233/2091473291_zpid/
267 Macdonough St # 3,Brooklyn,NY,11233,2200/000000,800.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/267-Macdonough-St-3-Brooklyn-NY-11233/2091474532_zpid/
430 Halsey St APT 2,Brooklyn,NY,11233,1549/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/430-Halsey-St-APT-2-Brooklyn-NY-11233/2091476684_zpid/
475 Hancock St APT 4,Brooklyn,NY,11233,3275/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/475-Hancock-St-APT-4-Brooklyn-NY-11233/2096819952_zpid/
410 Chauncey St # 1,Brooklyn,NY,11233,2500/000000,900.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/410-Chauncey-St-1-Brooklyn-NY-11233/2101604558_zpid/
144 Decatur St APT D4,Brooklyn,NY,11233,1950/000000,520.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/144-Decatur-St-APT-D4-Brooklyn-NY-11233/2108674372_zpid/
946 Herkimer St # 3F,Brooklyn,NY,11233,2795/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/946-Herkimer-St-3F-Brooklyn-NY-11233/2097734576_zpid/
1778 Bergen St # 4G,Brooklyn,NY,11233,2495/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1778-Bergen-St-4G-Brooklyn-NY-11233/2091996239_zpid/
2124 Fulton St # 1,Brooklyn,NY,11233,3390/000000,NA,6.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2124-Fulton-St-1-Brooklyn-NY-11233/2091495660_zpid/
NA,NA,NA,NA,32499,NA,NA,NA,NA,For Rent,NA
1601 Park Pl APT 2F,Brooklyn,NY,11233,2299/000000,1100.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1601-Park-Pl-APT-2F-Brooklyn-NY-11233/2097465078_zpid/
1562 Saint Marks Ave # 3TH,Brooklyn,NY,11233,2500/000000,1100.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1562-Saint-Marks-Ave-3TH-Brooklyn-NY-11233/2091509208_zpid/
690 Decatur St # 1,Brooklyn,NY,11233,2300/000000,900.0,2.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/690-Decatur-St-1-Brooklyn-NY-11233/2091534925_zpid/
58 Hull St # 1,Brooklyn,NY,11233,1900/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/58-Hull-St-1-Brooklyn-NY-11233/2097303773_zpid/
Saint Marks Ave,Brooklyn,NY,11233,1900/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/Saint-Marks-Ave-Brooklyn-NY-11233/2091546868_zpid/
705 Macon St # 2F,Brooklyn,NY,11233,4400/000000,NA,5.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/705-Macon-St-2F-Brooklyn-NY-11233/2091548299_zpid/
2156A Fulton St APT 3A,Brooklyn,NY,11233,1995/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2156A-Fulton-St-APT-3A-Brooklyn-NY-11233/2091549780_zpid/
203 Hull St APT 3R,Brooklyn,NY,11233,2250/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/203-Hull-St-APT-3R-Brooklyn-NY-11233/2091549769_zpid/
NA,NA,NA,NA,3315043099,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,2243032430,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,32488,NA,NA,NA,NA,For Rent,NA
239 Decatur St # 1,Brooklyn,NY,11233,4999/000000,2100.0,4.0,3.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/239-Decatur-St-1-Brooklyn-NY-11233/2091565024_zpid/
870 Hancock St APT 3F,Brooklyn,NY,11233,1800/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/870-Hancock-St-APT-3F-Brooklyn-NY-11233/2091565468_zpid/
237 Decatur St # GARDEN,Brooklyn,NY,11233,4800/000000,1400.0,4.0,3.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/237-Decatur-St-GARDEN-Brooklyn-NY-11233/2091569930_zpid/
390 Decatur St # 1B,Brooklyn,NY,11233,6000/000000,2000.0,4.0,3.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/390-Decatur-St-1B-Brooklyn-NY-11233/2094583297_zpid/
641 Hancock St APT 4B,Brooklyn,NY,11233,2000/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/641-Hancock-St-APT-4B-Brooklyn-NY-11233/2091581358_zpid/
2125 Atlantic Ave # 2,Brooklyn,NY,11233,2275/000000,1000.0,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2125-Atlantic-Ave-2-Brooklyn-NY-11233/2091581691_zpid/
1997 Pacific St APT 6,Brooklyn,NY,11233,3025/000000,NA,4.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1997-Pacific-St-APT-6-Brooklyn-NY-11233/2095839063_zpid/
NA,NA,NA,NA,32400,NA,NA,NA,NA,For Rent,NA
1625 Eastern Pkwy APT 3B,Brooklyn,NY,11233,1800/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1625-Eastern-Pkwy-APT-3B-Brooklyn-NY-11233/2091616962_zpid/
1679 Sterling Pl APT 5A,Brooklyn,NY,11233,1950/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1679-Sterling-Pl-APT-5A-Brooklyn-NY-11233/2091625614_zpid/
181 Chauncey St # 4,Brooklyn,NY,11233,2300/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/181-Chauncey-St-4-Brooklyn-NY-11233/2092747803_zpid/
270 Malcolm X Blvd,Brooklyn,NY,11233,2700/000000,500.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/270-Malcolm-X-Blvd-Brooklyn-NY-11233/2107869599_zpid/
1614 Prospect Pl APT 2R,Brooklyn,NY,11233,2000/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1614-Prospect-Pl-APT-2R-Brooklyn-NY-11233/2091631537_zpid/
360 Decatur St # 1R,Brooklyn,NY,11233,3066/000000,NA,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/360-Decatur-St-1R-Brooklyn-NY-11233/2102282343_zpid/
NA,NA,NA,NA,32100,NA,NA,NA,NA,For Rent,NA
1315 Eastern Pkwy APT D6,Brooklyn,NY,11233,1550/000000,600.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1315-Eastern-Pkwy-APT-D6-Brooklyn-NY-11233/2091656974_zpid/
356 Marion St # 1,Brooklyn,NY,11233,3125/000000,1400.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/356-Marion-St-1-Brooklyn-NY-11233/2093389848_zpid/
60A Bainbridge St # 2FLR,Brooklyn,NY,11233,1800/000000,500.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/60A-Bainbridge-St-2FLR-Brooklyn-NY-11233/2105861818_zpid/
890 Herkimer St # 2,Brooklyn,NY,11233,2500/000000,1400.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/890-Herkimer-St-2-Brooklyn-NY-11233/2091692193_zpid/
595 Decatur St,Brooklyn,NY,11233,1850/000000,2268.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/595-Decatur-St-Brooklyn-NY-11233/30599544_zpid/
737 Macdonough St APT 1R,Brooklyn,NY,11233,1800/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/737-Macdonough-St-APT-1R-Brooklyn-NY-11233/2092423661_zpid/
233 Malcolm X Blvd # 5B,Brooklyn,NY,11233,1890/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/233-Malcolm-X-Blvd-5B-Brooklyn-NY-11233/2091721705_zpid/
657 Macdonough St # 2B,Brooklyn,NY,11233,2299/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/657-Macdonough-St-2B-Brooklyn-NY-11233/2098010648_zpid/
NA,NA,NA,NA,22200,NA,NA,NA,NA,For Rent,NA
260 Saratoga Ave # 2,Brooklyn,NY,11233,2200/000000,960.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/260-Saratoga-Ave-2-Brooklyn-NY-11233/2091766760_zpid/
NA,NA,NA,NA,2229132450,NA,NA,NA,NA,For Rent,NA
1928 Pacific St # 2FT,Brooklyn,NY,11233,2000/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/1928-Pacific-St-2FT-Brooklyn-NY-11233/2091772462_zpid/
40 Buffalo Ave # 3,Brooklyn,NY,11233,1690/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/40-Buffalo-Ave-3-Brooklyn-NY-11233/2091802654_zpid/
2342 Atlantic Ave APT 3E,Brooklyn,NY,11233,1800/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2342-Atlantic-Ave-APT-3E-Brooklyn-NY-11233/2091813968_zpid/
NA,NA,NA,NA,2325054250,NA,NA,NA,NA,For Rent,NA
41 Thomas S Boyland St # 2,Brooklyn,NY,11233,3997/000000,2364.0,3.0,2.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/41-Thomas-S-Boyland-St-2-Brooklyn-NY-11233/2100983154_zpid/
664 Decatur St # 2,Brooklyn,NY,11233,1800/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/664-Decatur-St-2-Brooklyn-NY-11233/2091831537_zpid/
530 Bainbridge St # 22,Brooklyn,NY,11233,2200/000000,NA,3.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/530-Bainbridge-St-22-Brooklyn-NY-11233/2091852152_zpid/
